#Data from Fuhrman (2010) for flow in rough channel :turbulent kinetic energy
#ustar = 0.0021m/s
#h = 0.062m
#nu = 9.6e-7 m^2/s
#kn = 0.0099
#k/ustar^2 z/kn 
2.9465153970826563 0.13043478260869534
2.956239870340358 0.22575250836120464
2.946515397082658 0.33612040133779253
3.0194489465153964 0.43143812709030094
2.9465153970826563 0.5267558528428093
2.9319286871961108 0.6270903010033448
2.8006482982171796 0.8277591973244149
2.756888168557536 1.0284280936454842
2.6158833063209066 1.3294314381270897
2.348460291734197 1.5752508361204018
2.4213938411669353 1.8311036789297654
2.042139384116693 2.327759197324415
1.7552674230145868 2.819397993311037
